All Organizations is_active values:
- Name: PT Prodia Widyahusada Tbk | is_active: 'active' | DB Type: text
- Name: PT Bio Farma (Persero) | is_active: 'active' | DB Type: text
- Name: Quest Diagnostics | is_active: 'active' | DB Type: text
- Name: Eurofins Scientific | is_active: 'active' | DB Type: text
- Name: PT Kimia Farma Diagnostika | is_active: 'active' | DB Type: text
- Name: LabCorp | is_active: 'active' | DB Type: text
- Name: SGS SA | is_active: 'active' | DB Type: text
- Name: Mayo Clinic Laboratories | is_active: 'active' | DB Type: text
- Name: PT Pramita Lab | is_active: 'active' | DB Type: text
- Name: PT Cito Putra Utama | is_active: 'active' | DB Type: text
- Name: Sonic Healthcare | is_active: 'active' | DB Type: text
- Name: SYNLAB International | is_active: 'active' | DB Type: text
- Name: Eijkman Institute (BRIN) | is_active: 'active' | DB Type: text
- Name: Charles River Labs | is_active: 'active' | DB Type: text
- Name: Intertek Group | is_active: 'active' | DB Type: text
- Name: PT Nalagenetics Indonesia | is_active: 'active' | DB Type: text
- Name: Bureau Veritas | is_active: 'active' | DB Type: text
- Name: BioMÃ©rieux | is_active: 'active' | DB Type: text
- Name: ARUP Laboratories | is_active: 'active' | DB Type: text
- Name: PT Indec Diagnostics | is_active: 'active' | DB Type: text
- Name: Siloam Hospitals Lab | is_active: 'active' | DB Type: text
- Name: TÃœV SÃœD | is_active: 'active' | DB Type: text
- Name: NeoGenomics | is_active: 'active' | DB Type: text
- Name: Myriad Genetics | is_active: 'active' | DB Type: text
- Name: Laboratoire Cerba | is_active: 'active' | DB Type: text
- Name: PT Prima Medika Lab | is_active: 'active' | DB Type: text
- Name: ICON plc | is_active: 'active' | DB Type: text
- Name: PT Prodia Diagnostic Line | is_active: 'active' | DB Type: text
- Name: ABC Central Clinical Lab | is_active: 'active' | DB Type: text
- Name: Mitra Keluarga Lab | is_active: 'active' | DB Type: text
- Name: Global Bio-Research Institute | is_active: 'active' | DB Type: text
