Name: PT Prodia Widyahusada Tbk | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Bio Farma (Persero) | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Quest Diagnostics | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Eurofins Scientific | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Kimia Farma Diagnostika | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: LabCorp | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: SGS SA | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Mayo Clinic Laboratories | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Pramita Lab | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Cito Putra Utama | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Sonic Healthcare | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: SYNLAB International | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Eijkman Institute (BRIN) | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Charles River Labs | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Intertek Group | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Nalagenetics Indonesia | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Bureau Veritas | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: BioMÃ©rieux | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: ARUP Laboratories | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Indec Diagnostics | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Siloam Hospitals Lab | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: TÃœV SÃœD | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: NeoGenomics | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Myriad Genetics | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Laboratoire Cerba | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Prima Medika Lab | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: ICON plc | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: PT Prodia Diagnostic Line | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: ABC Central Clinical Lab | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Mitra Keluarga Lab | raw is_active: <OrgStatus.active: 1> | status_val: '1'
Name: Global Bio-Research Institute | raw is_active: <OrgStatus.active: 1> | status_val: '1'
